 ,c,a,s
13.900000,7.862054,32.290579,2.205695
14.000000,7.912922,32.499500,2.103505
14.100000,7.961747,32.700031,2.005420
14.200000,8.008582,32.892391,1.911330
14.300000,8.053483,33.076805,1.821128
14.400000,8.096504,33.253500,1.734701
14.500000,8.137703,33.422709,1.651936
14.600000,8.177136,33.584665,1.572718
14.700000,8.214859,33.739601,1.496934
14.800000,8.250931,33.887752,1.424469
14.900000,8.285407,34.029350,1.355209
15.000000,8.318344,34.164626,1.289042
15.100000,8.349797,34.293809,1.225854
15.200000,8.379822,34.417124,1.165537
15.300000,8.408471,34.534793,1.107982
15.400000,8.435800,34.647034,1.053081
15.500000,8.461858,34.754060,1.000732
15.600000,8.486698,34.856080,0.950831
15.700000,8.510368,34.953297,0.903279
15.800000,8.532917,35.045910,0.857979
15.900000,8.554392,35.134111,0.814837
16.000000,8.574839,35.218088,0.773761
16.100000,8.594301,35.298023,0.734663
16.200000,8.612822,35.374090,0.697456
16.300000,8.630443,35.446461,0.662057
16.400000,8.647203,35.515300,0.628386
16.500000,8.663142,35.580764,0.596366
16.600000,8.678297,35.643006,0.565921
16.700000,8.692703,35.702175,0.536980
16.800000,8.706396,35.758411,0.509473
16.900000,8.719407,35.811850,0.483334
17.000000,8.731769,35.862624,0.458499
17.100000,8.743513,35.910856,0.434907
17.200000,8.754667,35.956669,0.412499
17.300000,8.765260,36.000176,0.391218
17.400000,8.775319,36.041489,0.371011
17.500000,8.784869,36.080713,0.351825
17.600000,8.793935,36.117949,0.333612
17.700000,8.802541,36.153294,0.316324
17.800000,8.810709,36.186840,0.299915
17.900000,8.818460,36.218675,0.284344
18.000000,8.825815,36.248884,0.269567
18.100000,8.832794,36.277548,0.255547
18.200000,8.839415,36.304741,0.242246
18.300000,8.845696,36.330539,0.229628
18.400000,8.851655,36.355010,0.217658
18.500000,8.857306,36.378222,0.206305
18.600000,8.862666,36.400236,0.195537
18.700000,8.867750,36.421115,0.185324
18.800000,8.872570,36.440914,0.175640
18.900000,8.877142,36.459689,0.166457
19.000000,8.881476,36.477491,0.157749
19.100000,8.885586,36.494370,0.149493
19.200000,8.889482,36.510373,0.141665
19.300000,8.893176,36.525545,0.134244
19.400000,8.896678,36.539928,0.127209
19.500000,8.899998,36.553563,0.120540
19.600000,8.903145,36.566488,0.114218
19.700000,8.906128,36.578739,0.108225
19.800000,8.908955,36.590351,0.102546
19.900000,8.911635,36.601358,0.097162
20.000000,8.914175,36.611789,0.092059
20.100000,8.916582,36.621676,0.087224
20.200000,8.918863,36.631046,0.082641
20.300000,8.921025,36.639926,0.078297
20.400000,8.923074,36.648341,0.074181
20.500000,8.925016,36.656316,0.070280
20.600000,8.926856,36.663873,0.066584
20.700000,8.928599,36.671033,0.063081
20.800000,8.930252,36.677819,0.059762
20.900000,8.931817,36.684249,0.056617
21.000000,8.933300,36.690341,0.053637
21.100000,8.934706,36.696114,0.050814
21.200000,8.936038,36.701584,0.048138
21.300000,8.937300,36.706766,0.045604
21.400000,8.938495,36.711676,0.043202
21.500000,8.939628,36.716329,0.040926
21.600000,8.940701,36.720736,0.038770
21.700000,8.941718,36.724913,0.036728
21.800000,8.942681,36.728869,0.034792
21.900000,8.943594,36.732618,0.032959
22.000000,8.944459,36.736169,0.031222
22.100000,8.945278,36.739533,0.029576
22.200000,8.946054,36.742721,0.028017
22.300000,8.946789,36.745740,0.026540
22.400000,8.947485,36.748601,0.025141
22.500000,8.948145,36.751311,0.023815
22.600000,8.948770,36.753878,0.022559
22.700000,8.949363,36.756311,0.021370
22.800000,8.949924,36.758615,0.020243
22.900000,8.950455,36.760797,0.019175
23.000000,8.950958,36.762865,0.018164
23.100000,8.951435,36.764824,0.017206
23.200000,8.951887,36.766679,0.016298
23.300000,8.952315,36.768437,0.015438
23.400000,8.952721,36.770102,0.014624
23.500000,8.953105,36.771679,0.013852
23.600000,8.953468,36.773174,0.013122
23.700000,8.953813,36.774589,0.012429
23.800000,8.954139,36.775930,0.011773
23.900000,8.954449,36.777200,0.011152
24.000000,8.954742,36.778403,0.010564
24.100000,8.955019,36.779543,0.010006
24.200000,8.955282,36.780622,0.009478
